SubID,aex,artInterest,LockDown_days,experience_visit_again,experience_meaning,experience_beautifulness,experience_goodness,condition,age,see_art,per_Ext,per_A,per_Ce,per_ES,per_OE,block,posMood,negMood,lone,STAI,SAT,wellbeing
R_1pAnpS2VBsnPnrJ,Male,5,63,4,4,4,4,non_art,25,"Yes, I saw art",4,5,5,6,6,post,5,2,2.8333333333333335,2.1666666666666665,3,4.25
R_1Dr73uSDmimMlr7,Female,7,50,5,7,7,5,art,30,"Yes, I saw art",4.5,4.5,3.5,5.5,5,pre,5,3,4.333333333333333,3.8333333333333335,5.6,5
R_1Dr73uSDmimMlr7,Female,7,50,5,7,7,5,art,30,"Yes, I saw art",4.5,4.5,3.5,5.5,5,post,5,2,4.166666666666667,2.6666666666666665,4.8,4.5
R_295qVgK8TAMDAwp,Male,6,60,5,4,6,6,non_art,22,"Yes, I saw art",6,3.5,3,3.5,5.5,pre,5,2,3.8333333333333335,3.1666666666666665,4,4.75
R_295qVgK8TAMDAwp,Male,6,60,5,4,6,6,non_art,22,"Yes, I saw art",6,3.5,3,3.5,5.5,post,6,2,3.3333333333333335,2.6666666666666665,3,4.75
R_5jbh3ZhuS8bP2MN,Male,5,55,2,6,7,7,art,23,"Yes, I saw art",5.5,4.5,4.5,6,7,pre,6,1,2,1.5,6.2,6.25
R_5jbh3ZhuS8bP2MN,Male,5,55,2,6,7,7,art,23,"Yes, I saw art",5.5,4.5,4.5,6,7,post,6,1,2,1.6666666666666667,6.2,6.5
R_2b3Q4UFTrCSowDp,Female,6,100,2,4,5,3,non_art,26,"Yes, I saw art",2,5,3.5,3.5,5.5,pre,3,6,4.666666666666667,4.833333333333333,3.2,2
R_2b3Q4UFTrCSowDp,Female,6,100,2,4,5,3,non_art,26,"Yes, I saw art",2,5,3.5,3.5,5.5,post,2,6,4.666666666666667,5.5,3,2.5
R_TorOQlcXQvdHrJ7,Female,2,49,3,5,6,6,non_art,24,"Yes, I saw art",3.5,5.5,6,6.5,5.5,pre,3,3,3.1666666666666665,3,4.8,5.75
R_TorOQlcXQvdHrJ7,Female,2,49,3,5,6,6,non_art,24,"Yes, I saw art",3.5,5.5,6,6.5,5.5,post,4,2,3,2.6666666666666665,4.8,6
R_12D4QRNBA1W5OqC,Female,6,21,4,5,4,4,non_art,23,"No, I experienced something else",4.5,4.5,5.5,4,5,pre,6,3,2.8333333333333335,2,5.8,5
